eod,qid,open_price,high_price,low_price,ask,bid,settlement_price,last_traded_price,currency_code,volume,open_interest,expiration_date,symbol,rem_maturity
2022-09-26,54,2225.0,2281.0,2192.0,2212.0,2210.0,2243.0,2210.0,USD,36427.0,146417.0,2022-12-14,CCZ2,79 days
2022-09-27,54,2252.0,2290.0,2241.0,2278.0,2274.0,2286.0,2275.0,USD,24907.0,145585.0,2022-12-14,CCZ2,78 days
2022-09-28,54,2270.0,2308.0,2248.0,2290.0,2288.0,2282.0,2287.0,USD,22823.0,145624.0,2022-12-14,CCZ2,77 days
2022-09-29,54,2300.0,2333.0,2299.0,2330.0,2329.0,2327.0,2329.0,USD,24438.0,143520.0,2022-12-14,CCZ2,76 days
2022-09-30,54,2340.0,2375.0,2330.0,2345.0,2342.0,2354.0,2342.0,USD,29000.0,141235.0,2022-12-14,CCZ2,75 days
2022-10-03,54,2358.0,2377.0,2321.0,2322.0,2320.0,2337.0,2321.0,USD,30032.0,138539.0,2022-12-14,CCZ2,72 days
2022-10-04,54,2334.0,2382.0,2325.0,2371.0,2370.0,2360.0,2371.0,USD,31025.0,138145.0,2022-12-14,CCZ2,71 days
2022-10-05,54,2368.0,2403.0,2364.0,2392.0,2391.0,2392.0,2392.0,USD,36060.0,134690.0,2022-12-14,CCZ2,70 days
2022-10-06,54,2402.0,2422.0,2367.0,2378.0,2376.0,2373.0,2377.0,USD,33720.0,128824.0,2022-12-14,CCZ2,69 days
2022-10-07,54,2390.0,2405.0,2373.0,2398.0,2395.0,2396.0,2398.0,USD,22395.0,125791.0,2022-12-14,CCZ2,68 days
2022-10-10,54,2395.0,2412.0,2356.0,2360.0,2359.0,2358.0,2359.0,USD,23849.0,121243.0,2022-12-14,CCZ2,65 days
2022-10-11,54,2353.0,2388.0,2342.0,2352.0,2350.0,2347.0,2350.0,USD,23896.0,119252.0,2022-12-14,CCZ2,64 days
2022-10-12,54,2349.0,2362.0,2312.0,2317.0,2316.0,2318.0,2316.0,USD,23697.0,117498.0,2022-12-14,CCZ2,63 days
2022-10-13,54,2316.0,2388.0,2309.0,2382.0,2379.0,2385.0,2379.0,USD,31660.0,118213.0,2022-12-14,CCZ2,62 days
2022-10-14,54,2388.0,2407.0,2371.0,2373.0,2372.0,2377.0,2371.0,USD,26338.0,115628.0,2022-12-14,CCZ2,61 days
2022-10-17,54,2366.0,2395.0,2322.0,2333.0,2331.0,2340.0,2331.0,USD,33767.0,113848.0,2022-12-14,CCZ2,58 days
2022-10-18,54,2338.0,2343.0,2303.0,2311.0,2309.0,2305.0,2310.0,USD,27372.0,112354.0,2022-12-14,CCZ2,57 days
2022-10-19,54,2304.0,2313.0,2275.0,2297.0,2295.0,2308.0,2297.0,USD,28388.0,115186.0,2022-12-14,CCZ2,56 days
2022-10-20,54,2305.0,2333.0,2300.0,2317.0,2315.0,2328.0,2315.0,USD,18246.0,113802.0,2022-12-14,CCZ2,55 days
2022-10-21,54,2308.0,2319.0,2287.0,2304.0,2302.0,2306.0,2301.0,USD,17004.0,114246.0,2022-12-14,CCZ2,54 days
2022-10-24,54,2320.0,2348.0,2317.0,2320.0,2319.0,2337.0,2319.0,USD,21134.0,113376.0,2022-12-14,CCZ2,51 days
2022-10-25,54,2323.0,2328.0,2279.0,2293.0,2291.0,2296.0,2290.0,USD,28507.0,114414.0,2022-12-14,CCZ2,50 days
2022-10-26,54,2295.0,2321.0,2275.0,2281.0,2279.0,2278.0,2280.0,USD,25370.0,115322.0,2022-12-14,CCZ2,49 days
2022-10-27,54,2284.0,2324.0,2279.0,2319.0,2318.0,2314.0,2319.0,USD,22134.0,113766.0,2022-12-14,CCZ2,48 days
2022-10-28,54,2303.0,2330.0,2287.0,2305.0,2303.0,2302.0,2304.0,USD,24582.0,112161.0,2022-12-14,CCZ2,47 days
2022-10-31,54,2297.0,2355.0,2295.0,2327.0,2325.0,2335.0,2325.0,USD,27986.0,115319.0,2022-12-14,CCZ2,44 days
2022-11-01,54,2339.0,2354.0,2317.0,2352.0,2351.0,2348.0,2352.0,USD,24453.0,108258.0,2022-12-14,CCZ2,43 days
2022-11-02,54,2355.0,2390.0,2353.0,2388.0,2386.0,2379.0,2388.0,USD,30594.0,104120.0,2022-12-14,CCZ2,42 days
2022-11-03,1455,2369.0,2379.0,2355.0,2367.0,2365.0,2372.0,2365.0,USD,22135.0,101498.0,2023-03-16,CCH3,133 days
2022-11-04,1455,2380.0,2452.0,2377.0,2427.0,2426.0,2430.0,2428.0,USD,36089.0,107625.0,2023-03-16,CCH3,132 days
2022-11-07,1455,2430.0,2505.0,2430.0,2503.0,2501.0,2486.0,2501.0,USD,79549.0,117995.0,2023-03-16,CCH3,129 days
