start_date,end_date,X,Y,Z,in_sample_pnl,out_sample_pnl
2022-12-20,2023-02-02,14,6,10.0,3840.0,0.0
2023-02-03,2023-03-17,6,6,10.0,7380.0,-1170.0
2023-03-20,2023-05-01,5,5,10.0,3620.0,1060.0
2023-05-02,2023-06-13,26,3,43.793103448275865,5380.0,-470.0
2023-06-14,2023-07-27,10,4,94.48275862068967,4380.0,-50.0
2023-07-28,2023-09-08,10,5,10.0,2660.0,1650.0
2023-09-11,2023-10-20,12,7,162.0689655172414,4640.0,720.0
2023-10-23,2023-12-04,24,34,10.0,6510.0,0.0
2023-12-05,2024-01-18,46,4,10.0,-630.0,0.0
2024-01-19,2024-03-01,27,6,297.2413793103448,3480.0,0.0
2024-03-04,2024-04-15,46,3,10.0,6980.0,0.0
2024-04-16,2024-05-28,48,7,10.0,24550.0,0.0
